,T_min,T_max,R_s
2008-04-15,-1.5,8.9,25.9272
2008-04-16,-0.8,12.3,25.8084
2008-04-17,-2.0,16.6,25.1352
2008-04-18,8.4,21.2,16.1208
2008-04-19,4.8,20.9,24.3072
2008-04-20,1.8,11.4,24.9948
2008-04-21,0.8,11.3,20.156399999999998
2008-04-22,1.0,11.3,23.9112
2008-04-23,5.6,12.6,21.762
2008-04-24,1.7,9.5,7.8624
2008-04-25,1.5,10.3,23.5548
2008-04-26,0.9,14.2,18.554399999999998
2008-04-27,2.2,12.0,24.4116
2008-04-28,1.3,13.3,25.5168
2008-04-29,4.5,11.5,3.5064
2008-04-30,2.2,8.1,26.4924
2008-05-01,1.8,8.8,28.3932
2008-05-02,-0.5,9.8,28.7136
2008-05-03,0.1,8.8,12.4164
2008-05-04,3.7,12.2,9.0432
2008-05-05,6.1,11.7,6.1272
2008-05-06,6.4,17.2,22.2912
2008-05-07,3.3,16.5,23.140800000000002
2008-05-08,6.7,11.1,3.1212
2008-05-09,6.3,12.8,22.2984
2008-05-10,5.4,9.4,4.6764
2008-05-11,5.1,13.3,19.6632
2008-05-12,3.7,16.7,23.9976
2008-05-13,4.6,16.7,26.1612
2008-05-14,2.9,20.4,29.4264
2008-05-15,1.0,17.8,29.3976
2008-05-16,4.9,18.0,26.0676
2008-05-17,6.5,11.4,4.896
2008-05-18,5.9,14.2,23.3136
2008-05-19,6.4,11.1,22.6404
2008-05-20,6.4,10.8,28.9296
2008-05-21,6.1,12.5,15.462
2008-05-22,6.0,10.3,10.6812
2008-05-23,6.2,13.8,15.7032
2008-05-24,5.7,12.0,25.3944
2008-05-25,6.2,14.3,30.6792
2008-05-26,8.6,15.3,26.64
2008-05-27,8.9,13.3,14.6628
2008-05-28,7.0,11.7,30.3876
2008-05-29,6.3,14.6,30.5388
2008-05-30,5.8,15.0,31.0428
2008-05-31,4.1,15.9,11.685599999999999
2008-06-01,8.5,14.1,13.3668
2008-06-02,8.1,17.3,27.7668
2008-06-03,7.7,20.1,27.8352
2008-06-04,9.3,16.9,10.9548
2008-06-05,8.3,21.9,18.6984
2008-06-06,6.2,14.8,15.3252
2008-06-07,8.8,15.1,13.856399999999999
2008-06-08,10.3,20.6,22.2516
2008-06-09,11.5,27.4,28.7064
2008-06-10,11.1,19.6,17.082
2008-06-11,10.2,20.4,21.6432
2008-06-12,8.5,18.6,31.5828
2008-06-13,7.2,19.8,32.3172
2008-06-14,7.0,20.6,31.482
2008-06-15,9.8,17.0,20.7432
2008-06-16,11.5,18.1,16.848
2008-06-17,11.9,16.5,8.082
2008-06-18,10.0,18.9,21.6576
2008-06-19,10.5,19.9,28.7568
2008-06-20,10.0,17.5,17.82
2008-06-21,10.4,17.2,16.3476
2008-06-22,10.8,18.6,15.667200000000001
2008-06-23,14.1,21.6,14.778
2008-06-24,11.4,17.3,14.4108
2008-06-25,11.8,20.0,31.3668
2008-06-26,13.2,21.1,27.9792
2008-06-27,14.6,20.3,15.9012
2008-06-28,14.8,22.8,14.3172
2008-06-29,14.6,20.2,9.2988
2008-06-30,14.1,19.0,9.0036
2008-07-01,13.6,20.9,21.87
2008-07-02,13.9,19.2,13.662
2008-07-03,13.6,20.6,29.3076
2008-07-04,11.7,21.8,14.9292
2008-07-05,11.2,23.6,24.238799999999998
2008-07-06,13.2,18.2,17.55
2008-07-07,13.9,17.5,13.7556
2008-07-08,13.9,20.8,18.990000000000002
2008-07-09,15.2,21.3,20.2968
2008-07-10,14.3,18.7,7.7940000000000005
2008-07-11,12.4,20.2,29.1636
2008-07-12,10.9,23.8,30.0708
2008-07-13,13.5,21.1,22.8132
2008-07-14,15.0,19.4,9.5436
2008-07-15,12.9,24.5,19.242
2008-07-16,13.2,26.6,30.0888
2008-07-17,12.5,22.6,22.734
2008-07-18,14.8,21.7,17.694
2008-07-19,14.8,22.7,13.8852
2008-07-20,15.3,23.4,14.1156
2008-07-21,16.2,20.3,6.8616
2008-07-22,16.4,25.4,11.988
2008-07-23,16.9,22.9,17.3808
2008-07-24,18.8,26.9,21.8016
2008-07-25,16.6,24.7,15.105599999999999
2008-07-26,14.2,21.9,17.9316
2008-07-27,11.9,23.9,25.7904
2008-07-28,14.4,23.1,22.9608
2008-07-29,14.5,23.4,24.9048
2008-07-30,13.8,22.8,28.0332
2008-07-31,14.2,25.1,24.9156
2008-08-01,19.0,25.0,12.4884
2008-08-02,16.9,24.2,16.1856
2008-08-03,17.1,21.8,7.5132
2008-08-04,14.1,21.0,12.7476
2008-08-05,11.4,21.7,13.9392
2008-08-06,10.4,20.2,18.532799999999998
2008-08-07,12.5,20.5,17.4492
2008-08-08,13.7,23.2,16.3908
2008-08-09,14.3,20.0,18.216
2008-08-10,11.7,20.1,17.1108
2008-08-11,11.8,19.6,8.5608
2008-08-12,12.1,19.5,6.516
2008-08-13,13.0,17.5,18.3312
2008-08-14,12.5,19.0,3.8304
2008-08-15,12.9,19.0,15.1272
2008-08-16,15.1,19.2,6.2892
2008-08-17,14.6,20.4,25.4268
2008-08-18,13.1,22.2,22.122
2008-08-19,12.1,18.6,6.0984
2008-08-20,11.6,16.4,25.7328
2008-08-21,11.6,20.0,25.3152
2008-08-22,13.7,20.7,23.9256
2008-08-23,11.5,21.2,24.3108
2008-08-24,10.9,24.8,21.258
2008-08-25,13.5,20.0,11.2968
2008-08-26,11.7,16.8,20.6244
2008-08-27,12.9,22.1,23.4468
2008-08-28,13.1,24.3,16.0452
2008-08-29,13.6,18.8,8.5788
2008-08-30,13.3,21.0,14.8896
2008-08-31,13.7,20.1,20.1168
2008-09-01,13.0,19.6,10.421999999999999
2008-09-02,14.5,22.3,12.7332
2008-09-03,12.6,19.5,6.8256
2008-09-04,12.6,19.3,16.9488
2008-09-05,14.1,24.0,17.7444
2008-09-06,16.7,20.2,3.8556
2008-09-07,13.8,20.8,9.6156
2008-09-08,12.8,17.7,22.2624
2008-09-09,12.9,21.4,17.5896
2008-09-10,7.0,16.3,21.4452
2008-09-11,6.7,16.2,21.9132
2008-09-12,6.5,17.3,12.8268
2008-09-13,11.4,15.3,3.5244
2008-09-14,13.6,19.9,9.7668
2008-09-15,13.1,19.4,9.4572
2008-09-16,9.0,16.8,17.37
2008-09-17,7.6,17.0,19.1052
2008-09-18,4.2,14.7,9.723600000000001
2008-09-19,4.2,14.9,20.0628
2008-09-20,5.1,17.5,16.1892
2008-09-21,6.1,16.5,17.8704
2008-09-22,4.6,17.1,16.6716
2008-09-23,4.0,15.0,19.8432
2008-09-24,3.0,16.6,18.7704
2008-09-25,5.1,17.7,16.7184
2008-09-26,8.5,20.5,11.4948
2008-09-27,15.6,18.9,2.952
2008-09-28,13.7,19.3,1.7856
2008-09-29,13.7,18.1,11.4768
2008-09-30,10.6,17.4,12.178799999999999
2008-10-01,11.6,15.7,7.0164
2008-10-02,11.4,16.6,6.156000000000001
2008-10-03,9.8,16.5,13.0608
2008-10-04,9.5,13.8,15.4296
2008-10-05,7.9,13.2,16.4088
2008-10-06,4.1,13.5,10.6704
2008-10-07,3.8,11.9,11.9268
2008-10-08,7.9,15.1,15.822
2008-10-09,10.1,14.5,2.466
2008-10-10,10.5,16.0,15.6168
2008-10-11,8.7,13.9,15.3828
2008-10-12,7.5,14.0,14.896799999999999
2008-10-13,3.5,13.5,7.8588000000000005
2008-10-14,2.9,13.1,14.4252
2008-10-15,7.5,16.7,12.7548
2008-10-16,8.9,15.3,3.0996
2008-10-17,2.0,12.2,11.25
2008-10-18,-0.2,9.6,8.964
2008-10-19,0.9,7.4,5.1768
2008-10-20,2.9,10.3,4.6656
2008-10-21,4.8,11.7,9.4896
2008-10-22,2.8,10.0,3.5568
2008-10-23,0.5,6.6,11.7144
2008-10-24,1.6,10.8,13.338
2008-10-25,1.6,13.1,8.0352
2008-10-26,11.4,15.9,2.466
2008-10-27,7.0,17.1,6.1488000000000005
2008-10-28,11.3,17.5,2.5524
2008-10-29,4.2,11.6,4.734
2008-10-30,3.3,6.9,4.95
2008-10-31,3.5,9.4,8.2368
2008-11-01,0.8,9.1,11.61
2008-11-02,-2.6,4.7,9.414
2008-11-03,-2.9,9.5,6.0336
2008-11-04,7.4,12.3,7.902
2008-11-05,6.7,15.2,5.7348
2008-11-06,9.2,16.6,2.6208
2008-11-07,13.0,15.9,2.1204
